DateKey,Date,Year,Month,Day,Week,IsMonthEnd
20250101,1/1/2025,2025,1,1,1,FALSE
20250102,2/1/2025,2025,1,2,1,FALSE
20250103,3/1/2025,2025,1,3,1,FALSE
20250104,4/1/2025,2025,1,4,1,FALSE
20250105,5/1/2025,2025,1,5,2,FALSE
20250106,6/1/2025,2025,1,6,2,FALSE
20250107,7/1/2025,2025,1,7,2,FALSE
20250108,8/1/2025,2025,1,8,2,FALSE
20250109,9/1/2025,2025,1,9,2,FALSE
20250110,10/1/2025,2025,1,10,2,FALSE
20250111,11/1/2025,2025,1,11,2,FALSE
20250112,12/1/2025,2025,1,12,3,FALSE
20250113,13/1/2025,2025,1,13,3,FALSE
20250114,14/1/2025,2025,1,14,3,FALSE
20250115,15/1/2025,2025,1,15,3,FALSE
20250116,16/1/2025,2025,1,16,3,FALSE
20250117,17/1/2025,2025,1,17,3,FALSE
20250118,18/1/2025,2025,1,18,3,FALSE
20250119,19/1/2025,2025,1,19,4,FALSE
20250120,20/1/2025,2025,1,20,4,FALSE
20250121,21/1/2025,2025,1,21,4,FALSE
20250122,22/1/2025,2025,1,22,4,FALSE
20250123,23/1/2025,2025,1,23,4,FALSE
20250124,24/1/2025,2025,1,24,4,FALSE
20250125,25/1/2025,2025,1,25,4,FALSE
20250126,26/1/2025,2025,1,26,5,FALSE
20250127,27/1/2025,2025,1,27,5,FALSE
20250128,28/1/2025,2025,1,28,5,FALSE
20250129,29/1/2025,2025,1,29,5,FALSE
20250130,30/1/2025,2025,1,30,5,FALSE
20250131,31/1/2025,2025,1,31,5,FALSE
20250201,1/2/2025,2025,2,1,5,FALSE
20250202,2/2/2025,2025,2,2,6,FALSE
20250203,3/2/2025,2025,2,3,6,FALSE
20250204,4/2/2025,2025,2,4,6,FALSE
20250205,5/2/2025,2025,2,5,6,FALSE
20250206,6/2/2025,2025,2,6,6,FALSE
20250207,7/2/2025,2025,2,7,6,FALSE
20250208,8/2/2025,2025,2,8,6,FALSE
20250209,9/2/2025,2025,2,9,7,FALSE
20250210,10/2/2025,2025,2,10,7,FALSE
20250211,11/2/2025,2025,2,11,7,FALSE
20250212,12/2/2025,2025,2,12,7,FALSE
20250213,13/2/2025,2025,2,13,7,FALSE
20250214,14/2/2025,2025,2,14,7,FALSE
20250215,15/2/2025,2025,2,15,7,FALSE
20250216,16/2/2025,2025,2,16,8,FALSE
20250217,17/2/2025,2025,2,17,8,FALSE
20250218,18/2/2025,2025,2,18,8,FALSE
20250219,19/2/2025,2025,2,19,8,FALSE
20250220,20/2/2025,2025,2,20,8,FALSE
20250221,21/2/2025,2025,2,21,8,FALSE
20250222,22/2/2025,2025,2,22,8,FALSE
20250223,23/2/2025,2025,2,23,9,FALSE
20250224,24/2/2025,2025,2,24,9,FALSE
20250225,25/2/2025,2025,2,25,9,FALSE
20250226,26/2/2025,2025,2,26,9,FALSE
20250227,27/2/2025,2025,2,27,9,FALSE
20250228,28/2/2025,2025,2,28,9,FALSE
20250301,1/3/2025,2025,3,1,9,FALSE
20250302,2/3/2025,2025,3,2,10,FALSE
20250303,3/3/2025,2025,3,3,10,FALSE
20250304,4/3/2025,2025,3,4,10,FALSE
20250305,5/3/2025,2025,3,5,10,FALSE
20250306,6/3/2025,2025,3,6,10,FALSE
20250307,7/3/2025,2025,3,7,10,FALSE
20250308,8/3/2025,2025,3,8,10,FALSE
20250309,9/3/2025,2025,3,9,11,FALSE
20250310,10/3/2025,2025,3,10,11,FALSE
20250311,11/3/2025,2025,3,11,11,FALSE
20250312,12/3/2025,2025,3,12,11,FALSE
20250313,13/3/2025,2025,3,13,11,FALSE
20250314,14/3/2025,2025,3,14,11,FALSE
20250315,15/3/2025,2025,3,15,11,FALSE
20250316,16/3/2025,2025,3,16,12,FALSE
20250317,17/3/2025,2025,3,17,12,FALSE
20250318,18/3/2025,2025,3,18,12,FALSE
20250319,19/3/2025,2025,3,19,12,FALSE
20250320,20/3/2025,2025,3,20,12,FALSE
20250321,21/3/2025,2025,3,21,12,FALSE
20250322,22/3/2025,2025,3,22,12,FALSE
20250323,23/3/2025,2025,3,23,13,FALSE
20250324,24/3/2025,2025,3,24,13,FALSE
20250325,25/3/2025,2025,3,25,13,FALSE
20250326,26/3/2025,2025,3,26,13,FALSE
20250327,27/3/2025,2025,3,27,13,FALSE
20250328,28/3/2025,2025,3,28,13,FALSE
20250329,29/3/2025,2025,3,29,13,FALSE
20250330,30/3/2025,2025,3,30,14,FALSE
20250331,31/3/2025,2025,3,31,14,FALSE
20250401,1/4/2025,2025,4,1,14,FALSE
20250402,2/4/2025,2025,4,2,14,FALSE
20250403,3/4/2025,2025,4,3,14,FALSE
20250404,4/4/2025,2025,4,4,14,FALSE
20250405,5/4/2025,2025,4,5,14,FALSE
20250406,6/4/2025,2025,4,6,15,FALSE
20250407,7/4/2025,2025,4,7,15,FALSE
20250408,8/4/2025,2025,4,8,15,FALSE
20250409,9/4/2025,2025,4,9,15,FALSE
20250410,10/4/2025,2025,4,10,15,FALSE
20250411,11/4/2025,2025,4,11,15,FALSE
20250412,12/4/2025,2025,4,12,15,FALSE
20250413,13/4/2025,2025,4,13,16,FALSE
20250414,14/4/2025,2025,4,14,16,FALSE
20250415,15/4/2025,2025,4,15,16,FALSE
20250416,16/4/2025,2025,4,16,16,FALSE
20250417,17/4/2025,2025,4,17,16,FALSE
20250418,18/4/2025,2025,4,18,16,FALSE
20250419,19/4/2025,2025,4,19,16,FALSE
20250420,20/4/2025,2025,4,20,17,FALSE
20250421,21/4/2025,2025,4,21,17,FALSE
20250422,22/4/2025,2025,4,22,17,FALSE
20250423,23/4/2025,2025,4,23,17,FALSE
20250424,24/4/2025,2025,4,24,17,FALSE
20250425,25/4/2025,2025,4,25,17,FALSE
20250426,26/4/2025,2025,4,26,17,FALSE
20250427,27/4/2025,2025,4,27,18,FALSE
20250428,28/4/2025,2025,4,28,18,FALSE
20250429,29/4/2025,2025,4,29,18,FALSE
20250430,30/4/2025,2025,4,30,18,FALSE
20250501,1/5/2025,2025,5,1,18,FALSE
20250502,2/5/2025,2025,5,2,18,FALSE
20250503,3/5/2025,2025,5,3,18,FALSE
20250504,4/5/2025,2025,5,4,19,FALSE
20250505,5/5/2025,2025,5,5,19,FALSE
20250506,6/5/2025,2025,5,6,19,FALSE
20250507,7/5/2025,2025,5,7,19,FALSE
20250508,8/5/2025,2025,5,8,19,FALSE
20250509,9/5/2025,2025,5,9,19,FALSE
20250510,10/5/2025,2025,5,10,19,FALSE
20250511,11/5/2025,2025,5,11,20,FALSE
20250512,12/5/2025,2025,5,12,20,FALSE
20250513,13/5/2025,2025,5,13,20,FALSE
20250514,14/5/2025,2025,5,14,20,FALSE
20250515,15/5/2025,2025,5,15,20,FALSE
20250516,16/5/2025,2025,5,16,20,FALSE
20250517,17/5/2025,2025,5,17,20,FALSE
20250518,18/5/2025,2025,5,18,21,FALSE
20250519,19/5/2025,2025,5,19,21,FALSE
20250520,20/5/2025,2025,5,20,21,FALSE
20250521,21/5/2025,2025,5,21,21,FALSE
20250522,22/5/2025,2025,5,22,21,FALSE
20250523,23/5/2025,2025,5,23,21,FALSE
20250524,24/5/2025,2025,5,24,21,FALSE
20250525,25/5/2025,2025,5,25,22,FALSE
20250526,26/5/2025,2025,5,26,22,FALSE
20250527,27/5/2025,2025,5,27,22,FALSE
20250528,28/5/2025,2025,5,28,22,FALSE
20250529,29/5/2025,2025,5,29,22,FALSE
20250530,30/5/2025,2025,5,30,22,FALSE
20250531,31/5/2025,2025,5,31,22,FALSE
20250601,1/6/2025,2025,6,1,23,FALSE
20250602,2/6/2025,2025,6,2,23,FALSE
20250603,3/6/2025,2025,6,3,23,FALSE
20250604,4/6/2025,2025,6,4,23,FALSE
20250605,5/6/2025,2025,6,5,23,FALSE
20250606,6/6/2025,2025,6,6,23,FALSE
20250607,7/6/2025,2025,6,7,23,FALSE
20250608,8/6/2025,2025,6,8,24,FALSE
20250609,9/6/2025,2025,6,9,24,FALSE
20250610,10/6/2025,2025,6,10,24,FALSE
20250611,11/6/2025,2025,6,11,24,FALSE
20250612,12/6/2025,2025,6,12,24,FALSE
20250613,13/6/2025,2025,6,13,24,FALSE
20250614,14/6/2025,2025,6,14,24,FALSE
20250615,15/6/2025,2025,6,15,25,FALSE
20250616,16/6/2025,2025,6,16,25,FALSE
20250617,17/6/2025,2025,6,17,25,FALSE
20250618,18/6/2025,2025,6,18,25,FALSE
20250619,19/6/2025,2025,6,19,25,FALSE
20250620,20/6/2025,2025,6,20,25,FALSE
20250621,21/6/2025,2025,6,21,25,FALSE
20250622,22/6/2025,2025,6,22,26,FALSE
20250623,23/6/2025,2025,6,23,26,FALSE
20250624,24/6/2025,2025,6,24,26,FALSE
20250625,25/6/2025,2025,6,25,26,FALSE
20250626,26/6/2025,2025,6,26,26,FALSE
20250627,27/6/2025,2025,6,27,26,FALSE
20250628,28/6/2025,2025,6,28,26,FALSE
20250629,29/6/2025,2025,6,29,27,FALSE
20250630,30/6/2025,2025,6,30,27,FALSE
20250701,1/7/2025,2025,7,1,27,FALSE
